Season,Team Name,March Madness,Sweet Sixteen,Elite Eight,Final Four,Championship,Champions,Color,Location,,,
2022,Tennessee,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,orange,South,,,
2022,Illinois,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,orange,Midwest,,,
2022,Houston,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,red,South,,,
2022,Colorado State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,green,West,,,
2022,Ohio State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,Midwest,,,
2022,Seton Hall,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,East,,,
2022,TCU,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,purple,South,,,
2022,Loyola Chicago,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,Midwest,,,
2022,Michigan,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,blue,Midwest,,,
2022,UAB,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,green,South,,,
2022,Chattanooga,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,yellow,South,,,
2022,Longwood,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2022,Delaware,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,East,,,
2022,Wright State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,green,Midwest,,,
2022,Bryant,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,black,East,,,
2022,Kansas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,blue,Midwest,,,
2022,Auburn,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2022,Wisconsin,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,Midwest,,,
2022,Providence,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,silver,East,,,
2022,Iowa,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,yellow,Midwest,,,
2022,LSU,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,purple,West,,,
2022,USC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,West,,,
2022,San Diego State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,West,,,
2022,Creighton,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,blue,West,,,
2022,Miami ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,green,South,,,
2022,Iowa State,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,red,Midwest,,,
2022,Richmond,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2022,South Dakota State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,West,,,
2022,Colgate,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,East,,,
2022,Jacksonville State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,black,South,,,
2022,Texas Southern,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,South,,,
2022,Texas A&M–Corpus Christi,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2021,Gonzaga,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,blue,West,,,
2021,Iowa,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,yellow,Midwest,,,
2021,Kansas,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,Midwest,,,
